<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1237.HK,5,20250709,055500,0.44,0.44,0.44,0.44,20000,0
1237.HK,5,20250709,092500,0.44,0.44,0.44,0.44,10000,0
1237.HK,5,20250709,094500,0.44,0.44,0.44,0.44,20000,0
1237.HK,5,20250714,074500,0.445,0.445,0.445,0.445,10000,0
1237.HK,5,20250714,081000,0.51,0.51,0.51,0.51,10000,0
1237.HK,5,20250715,085500,0.455,0.455,0.455,0.455,40000,0
1237.HK,5,20250715,094000,0.455,0.455,0.455,0.455,10000,0
1237.HK,5,20250715,094500,0.455,0.455,0.455,0.455,10000,0
1237.HK,5,20250715,095500,0.51,0.51,0.50,0.50,10000,0
1237.HK,5,20250716,040000,0.495,0.50,0.495,0.50,20000,0
1237.HK,5,20250716,041000,0.50,0.50,0.50,0.50,40000,0
1237.HK,5,20250716,042000,0.50,0.50,0.50,0.50,10000,0
1237.HK,5,20250716,044500,0.50,0.51,0.50,0.51,80000,0
1237.HK,5,20250716,072000,0.51,0.51,0.51,0.51,80000,0
1237.HK,5,20250717,034000,0.51,0.51,0.51,0.51,30000,0
1237.HK,5,20250717,052000,0.51,0.51,0.51,0.51,20000,0
1237.HK,5,20250717,080000,0.51,0.51,0.51,0.51,20000,0
1237.HK,5,20250717,080500,0.495,0.495,0.495,0.495,30000,0
1237.HK,5,20250717,082000,0.50,0.50,0.50,0.50,50000,0
1237.HK,5,20250718,043500,0.51,0.53,0.51,0.53,110000,0
1237.HK,5,20250718,045000,0.53,0.53,0.53,0.53,10000,0
1237.HK,5,20250718,050500,0.55,0.55,0.55,0.55,10000,0
1237.HK,5,20250718,054000,0.57,0.59,0.57,0.59,40000,0
1237.HK,5,20250718,070000,0.59,0.59,0.59,0.59,40000,0
1237.HK,5,20250718,072000,0.60,0.60,0.60,0.60,10000,0
1237.HK,5,20250718,073500,0.60,0.60,0.60,0.60,10000,0
1237.HK,5,20250718,080000,0.60,0.60,0.60,0.60,10000,0
1237.HK,5,20250718,080500,0.62,0.63,0.62,0.63,80000,0
1237.HK,5,20250718,081000,0.60,0.60,0.60,0.60,10000,0
