<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
613.HK,5,20250709,035500,1.94,1.94,1.94,1.94,4000,0
613.HK,5,20250709,042000,1.91,1.91,1.90,1.90,20000,0
613.HK,5,20250709,043500,1.90,1.90,1.90,1.90,18000,0
613.HK,5,20250709,044500,1.90,1.90,1.90,1.90,22000,0
613.HK,5,20250709,045000,1.88,1.88,1.87,1.87,34000,0
613.HK,5,20250709,045500,1.87,1.87,1.87,1.87,2000,0
613.HK,5,20250709,051500,1.88,1.89,1.88,1.89,6000,0
613.HK,5,20250709,054000,1.90,1.90,1.90,1.90,2000,0
613.HK,5,20250709,071000,1.92,1.92,1.92,1.92,30000,0
613.HK,5,20250709,072000,1.91,1.91,1.91,1.91,2000,0
613.HK,5,20250709,072500,1.91,1.97,1.91,1.97,100000,0
613.HK,5,20250709,074500,1.92,1.92,1.92,1.92,2000,0
613.HK,5,20250709,075000,1.92,1.92,1.89,1.89,238000,0
613.HK,5,20250709,083500,1.89,1.89,1.89,1.89,20000,0
613.HK,5,20250709,093500,1.93,1.93,1.93,1.93,14000,0
613.HK,5,20250709,094000,1.93,1.93,1.92,1.92,28000,0
613.HK,5,20250710,054500,1.89,1.89,1.89,1.89,10000,0
613.HK,5,20250710,071500,1.93,1.96,1.93,1.95,82000,0
613.HK,5,20250710,072500,1.99,2.00,1.99,2.00,34000,0
613.HK,5,20250710,073000,2.00,2.00,2.00,2.00,20000,0
613.HK,5,20250710,075500,1.95,1.95,1.95,1.95,4000,0
613.HK,5,20250710,094500,1.97,1.97,1.97,1.97,10000,0
613.HK,5,20250711,042000,1.97,1.98,1.97,1.98,32000,0
613.HK,5,20250711,042500,1.97,1.97,1.97,1.97,76000,0
613.HK,5,20250711,051500,1.93,1.93,1.93,1.93,4000,0
613.HK,5,20250711,052000,1.97,1.97,1.97,1.97,4000,0
613.HK,5,20250711,054500,1.95,1.95,1.95,1.95,20000,0
613.HK,5,20250711,080500,1.97,1.98,1.97,1.98,60000,0
613.HK,5,20250711,081500,2.00,2.00,2.00,2.00,50000,0
613.HK,5,20250711,082500,1.98,1.98,1.94,1.94,6000,0
613.HK,5,20250711,084000,1.98,1.98,1.98,1.98,44000,0
613.HK,5,20250711,090000,1.99,1.99,1.99,1.99,2000,0
613.HK,5,20250711,093000,2.00,2.01,2.00,2.01,100000,0
613.HK,5,20250711,094000,2.00,2.00,2.00,2.00,20000,0
613.HK,5,20250711,094500,2.00,2.00,2.00,2.00,20000,0
613.HK,5,20250711,095000,2.01,2.02,2.01,2.02,44000,0
613.HK,5,20250711,095500,1.98,1.98,1.98,1.98,10000,0
613.HK,5,20250714,033000,1.95,1.95,1.95,1.95,4000,0
613.HK,5,20250714,035000,2.01,2.01,2.01,2.01,2000,0
613.HK,5,20250714,035500,2.00,2.00,2.00,2.00,48000,0
613.HK,5,20250714,040000,2.00,2.01,2.00,2.01,28000,0
613.HK,5,20250714,042500,2.00,2.01,2.00,2.01,40000,0
613.HK,5,20250714,043500,2.06,2.06,2.06,2.06,8000,0
613.HK,5,20250714,044500,2.05,2.05,2.05,2.05,20000,0
613.HK,5,20250714,050000,2.05,2.05,2.05,2.05,6000,0
613.HK,5,20250714,050500,2.02,2.02,2.02,2.02,18000,0
613.HK,5,20250714,051000,2.02,2.02,2.02,2.02,30000,0
613.HK,5,20250714,051500,2.01,2.01,2.01,2.01,20000,0
613.HK,5,20250714,054000,2.01,2.01,2.01,2.01,16000,0
613.HK,5,20250714,071500,2.04,2.04,2.04,2.04,26000,0
613.HK,5,20250714,073000,2.04,2.04,2.04,2.04,6000,0
613.HK,5,20250714,082000,2.01,2.01,2.01,2.01,12000,0
613.HK,5,20250714,084000,2.01,2.01,2.01,2.01,2000,0
613.HK,5,20250714,090500,2.02,2.04,2.02,2.04,38000,0
613.HK,5,20250714,095500,2.04,2.05,2.03,2.04,42000,0
613.HK,5,20250715,033000,2.06,2.06,2.06,2.06,12000,0
613.HK,5,20250715,033500,2.06,2.11,2.06,2.11,164000,0
613.HK,5,20250715,034000,2.12,2.12,2.12,2.12,40000,0
613.HK,5,20250715,034500,2.10,2.10,2.10,2.10,10000,0
613.HK,5,20250715,035000,2.10,2.10,2.10,2.10,10000,0
613.HK,5,20250715,040000,2.12,2.12,2.12,2.12,20000,0
613.HK,5,20250715,040500,2.12,2.14,2.12,2.14,28000,0
613.HK,5,20250715,041000,2.14,2.14,2.13,2.13,16000,0
613.HK,5,20250715,041500,2.13,2.13,2.13,2.13,16000,0
613.HK,5,20250715,043000,2.14,2.17,2.14,2.17,114000,0
613.HK,5,20250715,043500,2.18,2.18,2.17,2.18,40000,0
613.HK,5,20250715,044000,2.18,2.18,2.17,2.17,10000,0
613.HK,5,20250715,045000,2.17,2.17,2.17,2.17,4000,0
613.HK,5,20250715,050000,2.14,2.14,2.14,2.14,12000,0
613.HK,5,20250715,051000,2.13,2.13,2.13,2.13,32000,0
613.HK,5,20250715,051500,2.13,2.13,2.12,2.12,4000,0
613.HK,5,20250715,052000,2.12,2.12,2.12,2.12,4000,0
613.HK,5,20250715,052500,2.12,2.12,2.12,2.12,20000,0
613.HK,5,20250715,053500,2.10,2.12,2.10,2.12,16000,0
613.HK,5,20250715,054500,2.10,2.10,2.10,2.10,50000,0
613.HK,5,20250715,080000,2.15,2.20,2.15,2.20,206000,0
613.HK,5,20250715,081500,2.19,2.19,2.19,2.19,2000,0
613.HK,5,20250715,083000,2.18,2.18,2.18,2.18,10000,0
613.HK,5,20250715,084000,2.18,2.18,2.18,2.18,16000,0
613.HK,5,20250715,085000,2.17,2.17,2.16,2.16,14000,0
613.HK,5,20250715,091000,2.18,2.18,2.18,2.18,104000,0
613.HK,5,20250715,092000,2.18,2.19,2.18,2.19,24000,0
613.HK,5,20250715,092500,2.19,2.20,2.19,2.20,84000,0
613.HK,5,20250715,093000,2.20,2.20,2.20,2.20,26000,0
613.HK,5,20250715,093500,2.20,2.20,2.20,2.20,42000,0
613.HK,5,20250715,094000,2.21,2.25,2.20,2.25,18000,0
613.HK,5,20250715,094500,2.22,2.25,2.22,2.25,34000,0
613.HK,5,20250715,095000,2.25,2.25,2.23,2.23,12000,0
613.HK,5,20250715,095500,2.24,2.25,2.24,2.24,66000,0
613.HK,5,20250716,033000,2.22,2.22,2.15,2.15,4000,0
613.HK,5,20250716,034000,2.18,2.18,2.18,2.18,2000,0
613.HK,5,20250716,034500,2.18,2.18,2.16,2.16,24000,0
613.HK,5,20250716,055500,2.16,2.16,2.16,2.16,6000,0
613.HK,5,20250716,071500,2.16,2.16,2.16,2.16,14000,0
613.HK,5,20250716,072500,2.17,2.18,2.17,2.18,12000,0
613.HK,5,20250716,080500,2.16,2.16,2.16,2.16,2000,0
613.HK,5,20250716,081000,2.16,2.16,2.16,2.16,4000,0
613.HK,5,20250716,082000,2.18,2.18,2.16,2.18,36000,0
613.HK,5,20250716,083000,2.17,2.17,2.17,2.17,2000,0
613.HK,5,20250716,083500,2.17,2.17,2.17,2.17,4000,0
613.HK,5,20250716,084000,2.15,2.17,2.15,2.17,8000,0
613.HK,5,20250716,084500,2.18,2.18,2.18,2.18,30000,0
613.HK,5,20250716,085000,2.18,2.18,2.18,2.18,6000,0
613.HK,5,20250716,094500,2.18,2.18,2.18,2.18,14000,0
613.HK,5,20250717,040000,2.18,2.18,2.18,2.18,2000,0
613.HK,5,20250717,041000,2.20,2.20,2.20,2.20,28000,0
613.HK,5,20250717,041500,2.20,2.26,2.20,2.24,32000,0
613.HK,5,20250717,042000,2.26,2.26,2.26,2.26,16000,0
613.HK,5,20250717,043000,2.25,2.25,2.25,2.25,10000,0
613.HK,5,20250717,043500,2.23,2.23,2.23,2.23,4000,0
613.HK,5,20250717,044000,2.26,2.28,2.20,2.20,44000,0
613.HK,5,20250717,052000,2.28,2.28,2.28,2.28,4000,0
613.HK,5,20250717,053500,2.28,2.28,2.28,2.28,2000,0
613.HK,5,20250717,070000,2.25,2.25,2.25,2.25,2000,0
613.HK,5,20250717,071500,2.23,2.23,2.23,2.23,2000,0
613.HK,5,20250717,072000,2.24,2.24,2.24,2.24,82000,0
613.HK,5,20250717,082500,2.25,2.27,2.25,2.27,120000,0
